File,Trait,True_Bias,Min_N_Required,Total_Samples
DREsS_New_meta-llama3-1-405b-instruct-v1-0_guidelines_prompt.json,content,-0.09171298635674584,425,1979
DREsS_New_meta-llama3-1-405b-instruct-v1-0_guidelines_prompt.json,language,-0.675088428499242,10,1979
DREsS_New_meta-llama3-1-405b-instruct-v1-0_guidelines_prompt.json,organization,-0.23016675088428498,65,1979
DREsS_New_meta-llama3-1-405b-instruct-v1-0_keywords_system_prompt.json,content,0.07402728650833755,650,1979
DREsS_New_meta-llama3-1-405b-instruct-v1-0_keywords_system_prompt.json,language,-0.5371399696816574,10,1979
DREsS_New_meta-llama3-1-405b-instruct-v1-0_keywords_system_prompt.json,organization,0.013895907023749368,Not Reached,1979
DREsS_New_meta-llama3-1-70b-instruct-v1-0_guidelines_prompt.json,content,0.09129994941831057,340,1977
DREsS_New_meta-llama3-1-70b-instruct-v1-0_guidelines_prompt.json,language,-0.48103186646433993,10,1977
DREsS_New_meta-llama3-1-70b-instruct-v1-0_guidelines_prompt.json,organization,-0.14592817400101163,155,1977
DREsS_New_meta-llama3-1-70b-instruct-v1-0_keywords_system_prompt.json,content,0.18064679130874178,95,1979
DREsS_New_meta-llama3-1-70b-instruct-v1-0_keywords_system_prompt.json,language,-0.36685194542698335,20,1979
DREsS_New_meta-llama3-1-70b-instruct-v1-0_keywords_system_prompt.json,organization,0.0808489135927236,525,1979
DREsS_New_meta-llama3-1-8b-instruct-v1-0_guidelines_prompt.json,content,-0.3617988883274381,25,1979
DREsS_New_meta-llama3-1-8b-instruct-v1-0_guidelines_prompt.json,language,-0.9519959575543203,5,1979
DREsS_New_meta-llama3-1-8b-instruct-v1-0_guidelines_prompt.json,organization,-0.8221323900960081,5,1979
DREsS_New_meta-llama3-1-8b-instruct-v1-0_keywords_system_prompt.json,content,-0.10737746336533603,225,1979
DREsS_New_meta-llama3-1-8b-instruct-v1-0_keywords_system_prompt.json,language,-0.7599797877716018,5,1979
DREsS_New_meta-llama3-1-8b-instruct-v1-0_keywords_system_prompt.json,organization,-0.5631632137443153,10,1979
DREsS_New_openai-gpt-oss-120b-1-0_guidelines_prompt.json,content,-1.2771601819100555,5,1979
DREsS_New_openai-gpt-oss-120b-1-0_guidelines_prompt.json,language,-1.6849418898433552,5,1979
DREsS_New_openai-gpt-oss-120b-1-0_guidelines_prompt.json,organization,-1.2635169277412834,5,1979
DREsS_New_openai-gpt-oss-120b-1-0_keywords_system_prompt.json,content,-1.1048509348155635,5,1979
DREsS_New_openai-gpt-oss-120b-1-0_keywords_system_prompt.json,language,-1.5510358767054069,5,1979
DREsS_New_openai-gpt-oss-120b-1-0_keywords_system_prompt.json,organization,-1.0894391106619505,5,1979
DREsS_New_openai-gpt-oss-20b-1-0_guidelines_prompt.json,content,-1.0917593528816987,5,1978
DREsS_New_openai-gpt-oss-20b-1-0_guidelines_prompt.json,language,-1.575834175935288,5,1978
DREsS_New_openai-gpt-oss-20b-1-0_guidelines_prompt.json,organization,-0.9646107178968655,5,1978
DREsS_New_openai-gpt-oss-20b-1-0_keywords_system_prompt.json,content,-0.8938858009095503,5,1979
DREsS_New_openai-gpt-oss-20b-1-0_keywords_system_prompt.json,language,-1.3931278423446185,5,1979
DREsS_New_openai-gpt-oss-20b-1-0_keywords_system_prompt.json,organization,-0.842344618494189,10,1979
DREsS_Std_meta-llama3-1-405b-instruct-v1-0_guidelines_prompt.json,content,-0.3504404835140852,30,6508
