dataset,model,prompt,trait,n,qwk,kendall_tau,kendall_w,pearson,r2_score,rmse,bias,std_human,std_llm,exact_match_rate,within_0.5_rate,within_1.0_rate,len_bias_delta,spearman,mae,len_corr_human,len_corr_llm
DREsS_New,meta.llama3-1-405b-instruct-v1:0,Guidelines,content,1979,0.2782175062229917,0.2552563142648587,0.65810621192351,0.28481661217495374,-0.22786287935567429,0.9774491143259139,-0.09171298635674584,0.8823257945648108,0.7330973389445543,0.21374431531076302,0.6043456291056089,0.829711975745326,-0.11460079292237546,0.31621242384702014,0.7354724608388075,0.46791617924588197,0.3533153863235065
DREsS_New,meta.llama3-1-405b-instruct-v1:0,Keywords,content,1979,0.22252353827912708,0.22539386055799798,0.6365621018978481,0.23015442139719067,-0.2606578418877181,0.990416432340062,0.07402728650833755,0.8823257945648108,0.6916168968209014,0.2157655381505811,0.5871652349671551,0.8337544214249621,-0.1950128040919218,0.2731242037956962,0.7465891864578069,0.46791617924588197,0.2729033751539602
DREsS_New,meta.llama3-1-405b-instruct-v1:0,Guidelines,language,1979,0.27050923603509225,0.332286091396939,0.7016493578391529,0.4008406756817983,-0.9551283135158064,1.0165383302448554,-0.675088428499242,0.7271866210016715,0.657630071589132,0.17129863567458312,0.515411824153613,0.7837291561394644,0.02042384552176607,0.403298715678306,0.8155634158665993,0.3986993279580344,0.4191231734798005
DREsS_New,meta.llama3-1-405b-instruct-v1:0,Keywords,language,1979,0.24186037131018934,0.2754478046696916,0.6675310606375765,0.32121978509550153,-0.734280078590549,0.9574051168954048,-0.5371399696816574,0.7271866210016715,0.626250880714903,0.20010106114199092,0.572511369378474,0.8226376958059626,-0.03639354045507054,0.335062121275153,0.7473471450227388,0.3986993279580344,0.3623057875029639
DREsS_New,meta.llama3-1-405b-instruct-v1:0,Guidelines,organization,1979,0.34430266618272387,0.29001258580591777,0.6832069572682766,0.35838970583026486,-0.2998035164718995,0.9541669470855512,-0.23016675088428498,0.8371345530138851,0.7971213128202859,0.23244062657908035,0.5886811520970187,0.818089944416372,-0.03140175495396019,0.3664139145365533,0.7273875694795351,0.43152087646729215,0.40011912151333195
DREsS_New,meta.llama3-1-405b-instruct-v1:0,Keywords,organization,1979,0.3463278949409967,0.275895101912075,0.6745186067653406,0.34677968147296534,-0.24750116878536543,0.9347726455876092,0.013895907023749368,0.8371345530138851,0.7977744277177315,0.21930267812026275,0.608388074785245,0.8241536129358262,-0.10630653679954477,0.34903721353068123,0.7172814552804446,0.43152087646729215,0.3252143396677474
DREsS_New,meta.llama3-1-70b-instruct-v1:0,Guidelines,content,1977,0.22894026922283095,0.2591195075804556,0.6547945512459872,0.25326614976401624,-0.09975620288460352,0.9247756019765703,0.09129994941831057,0.8820597763118098,0.5686191228654951,0.22812341932220537,0.622154779969651,0.8462316641375822,-0.13634132758718387,0.3095891024919743,0.697268588770865,0.46976861619058247,0.3334272886033986
DREsS_New,meta.llama3-1-70b-instruct-v1:0,Keywords,content,1979,0.1929729888263192,0.2368884431117359,0.6419306381864335,0.21469086400822746,-0.20318548180680995,0.9675769499725805,0.18064679130874178,0.8823257945648108,0.5911891459189728,0.22738756947953512,0.5962607377463366,0.830722587165235,-0.1800505753446685,0.2838612763728669,0.7289034866093986,0.46791617924588197,0.28786560390121346
DREsS_New,meta.llama3-1-70b-instruct-v1:0,Guidelines,language,1977,0.324458068506598,0.3523341972353529,0.7101880952226598,0.42417893688573793,-0.38962759290195015,0.8567031654000553,-0.48103186646433993,0.7269273708768322,0.5718954257544016,0.2205361659079413,0.6029337379868488,0.8517956499747091,0.00523922862517362,0.42037619044531954,0.6783004552352049,0.4008503801083584,0.406089608733532
DREsS_New,meta.llama3-1-70b-instruct-v1:0,Keywords,language,1979,0.33319935843422666,0.339055810536503,0.701043174356629,0.3993185324267954,-0.23426437787232568,0.8076816647363543,-0.36685194542698335,0.7271866210016715,0.5615814585865133,0.2491157150075796,0.6533602829711975,0.8792319353208691,-0.02858257145997234,0.40208634871325805,0.6240525517938352,0.3986993279580344,0.3701167564980621
